che-chg-lnx01-76;RedHat;CentOS 7.9;[u'sudo-1.8.23-10.el7_9.1.x86_64']
inf-infvm-evtbdd01;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
che-che44-itstimeweb;Debian;Debian 9.9;1.8.19p1-2.1+deb9u3
icd-icdo9-tec-1;RedHat;RedHat 6.7;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
icd-icdvm-oem01;RedHat;OracleLinux 6.7;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
inf-infvm-soc02;RedHat;CentOS 7.6;[u'sudo-1.8.23-10.el7_9.1.x86_64']
inf-wkdock03;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
inf-infvm-evtbus01;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
inf-wkdock04;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
inf-wkdock05;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvip-web;RedHat;CentOS 6.4;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
inf-wkdock06;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvm-cvp01;RedHat;CentOS 7.6;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvm-dev02;RedHat;CentOS 7.4;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvm-thruk01;RedHat;CentOS 7.3;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvm-wkf09;RedHat;CentOS 6.8;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
sup-backend03;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
sup-backend01;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
sup-backend02;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
sup-backend04;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
infvm-sup-yrru;RedHat;RedHat 6.7;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-isiedev;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-sapprd;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-isieprd;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-as1;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-sapdev;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-ca-sappre;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-dc-slm;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
aca-dc-sapqua;RedHat;RedHat 6.1;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
alt-srvtraitgce1;RedHat;RedHat 6.5;[u'sudo-1.8.6p3-29.el6_9.x86_64']
arm-armvm-nfs01;RedHat;CentOS 7.4;[u'sudo-1.8.23-10.el7_9.1.x86_64']
as24-nahpapro;RedHat;RedHat 8.2;[u'sudo-1.8.29-6.el8_3.1.x86_64']
as24-nahpipro;RedHat;RedHat 8.2;[u'sudo-1.8.29-6.el8_3.1.x86_64']
crcdc-crc-pro-01;RedHat;CentOS 7.7;[u'sudo-1.8.23-10.el7_9.1.x86_64']
dsr-fglidat1;RedHat;RedHat 6.5;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
dsr-fglidat2;RedHat;RedHat 6.5;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
gin-fp-wsout-ppd;Debian;Debian 10;1.8.27-1+deb10u3
gpm-srv-cent-vmpr;Debian;Debian 9.9;1.8.19p1-2.1+deb9u3
h2i-srv-aramis-01;RedHat;RedHat 6.7;[u'sudo-1.8.6p3-29.el6_10.4.x86_64']
